Code_postal,TAU2017,ZE2010,RP,RS,MAISON,RP_PROP,RP_LOC,MED,PIMP,D1,D9,PIMPOT,TP60,PPAT,TP60TOL1,TP60TOL2,PBEN,NBPERSMENFISC
80710,8,2210,0.9352271823027536,0.009814063287461776,0.8429912572676383,0.6319874563028185,0.2832825370765966,20889.0,52.0,10326.9,33994.5,16.2,16.9,9.2,9.2,33.1,6.6,1162.0
83440,9,9305,0.6384389498992051,0.2846785586718772,0.8369165962195826,0.46337762876445826,0.15047141411943,20782.344444444447,56.23333333333333,10149.3,39267.62222222222,18.22222222222222,16.53333333333333,15.011111111111111,13.277777777777779,28.866666666666667,6.866666666666665,3094.277777777778
83580,1,9314,0.3509261706090733,0.6259969470678499,0.7777707844579728,0.20998593508775784,0.09769201538775557,23175.7,66.0,11156.1,51066.0,25.1,13.0,28.7,18.0,20.0,9.3,2780.5
85120,1,5216,0.804812466675234,0.10898251766943959,0.9517006167816613,0.6254255312914133,0.16995660479392943,18739.120000000003,45.970000000000006,11182.810000000001,30398.519999999997,13.780000000000001,13.75,9.329999999999998,9.299999999999999,30.340000000000003,6.790000000000001,909.3
97470,5,401,0.8835665235468423,0.006063311944858213,0.695473497842019,0.4779076300533995,0.37535529311582144,12710.4,21.0,7062.1,28413.8,10.1,48.0,4.6,36.0,61.0,8.3,38394.0
05250,0,9304,0.10439266633493935,0.8772772914601564,0.20491919943278641,0.072700551540435,0.023514175997405115,19632.7,51.9,10945.8,33835.3,15.2,14.4,11.9,11.9,24.7,7.3,848.5
10140,7,2102,0.7783572905359598,0.11767791171576168,0.9557742848375329,0.637900386415565,0.12419629702547554,19970.813636363633,51.550000000000004,10569.031818181813,33921.24090909091,15.927272727272731,15.94545454545455,10.954545454545451,11.099999999999996,31.336363636363625,8.436363636363634,82627.86363636363
11410,9,61,0.7780394687489942,0.12999407419573064,0.9508253475401258,0.6049962846505638,0.14221228831640273,19870.214285714286,,,,,,,,,,258.0
14270,8,2502,0.8655994702340359,0.06185846477951784,0.9293425266630977,0.6214665608923435,0.22314130602910437,18823.74444444444,45.416666666666664,10898.999999999998,29941.64999999999,12.966666666666665,15.133333333333333,6.205555555555554,9.199999999999998,26.63888888888889,4.116666666666665,3020.5
15170,1,8306,0.577272109244217,0.291899675758117,0.9019642003069741,0.4526389115766149,0.11072059989871957,17853.100000000002,45.199999999999996,10680.0,30794.0,13.599999999999996,16.199999999999996,13.3,13.3,26.0,10.799999999999999,3474.3636363636365
18300,1,52,0.6508281437878358,0.2088157016278906,0.9538963855956963,0.516164415825103,0.11803105734423738,21581.227777777778,,,,,,,,,,500.47222222222223
20138,7,9401,0.311909124879975,0.6824441739173948,0.8757887227618943,0.25961847747362654,0.0311909124879975,20881.3,56.2,10682.7,37508.0,18.0,15.2,10.9,10.9,24.0,7.3,654.0
20270,0,9407,0.5621864389748795,0.3706853048437339,0.7640620838814276,0.3714436356770873,0.1394523678914231,17522.149999999998,44.46666666666666,9012.1,32803.666666666664,15.433333333333335,23.566666666666663,10.433333333333332,10.433333333333332,35.43333333333334,8.633333333333331,27079.333333333332
24450,0,7202,0.648615447588352,0.21384288763251985,0.9556857237686376,0.5349214215779816,0.09602887163037734,17937.760000000002,47.3,10545.6,32337.0,14.2,15.9,10.0,10.0,30.1,5.9,572.3
24600,1,7202,0.6976922381707659,0.19363561335559348,0.9608793160162092,0.5311535360811059,0.1386145103363289,18600.533333333333,47.01333333333333,10506.173333333336,32339.113333333335,14.226666666666663,16.10666666666667,10.126666666666667,10.0,30.426666666666673,6.000000000000001,15876.133333333333
33450,9,7204,0.9388646249753905,0.008193789578693718,0.8953602825507692,0.6648102512867341,0.25992492548036034,22421.9,61.25,13058.45,37117.625,16.475,8.5,9.35,7.6,19.125,4.3,5753.875
39260,5,4307,0.7266519026524825,0.1630252200847751,0.7919475696094239,0.562232979536243,0.1465684394521675,21181.233333333334,58.81666666666666,11892.574999999999,40161.450000000004,15.974999999999996,11.416666666666666,7.524999999999999,7.599999999999999,22.5,3.733333333333333,4904.666666666667
43200,1,8308,0.6540419892484566,0.21481325244285135,0.9032815012882439,0.504435174986533,0.13359709142331572,19373.500000000004,48.13333333333333,12186.700000000003,32000.400000000005,14.299999999999999,12.15,10.966666666666669,9.45,24.3,6.933333333333333,1637.0
